###Iteration 0
Johnson	0.20112326176205939
Nelson Rockefeller	0.40000000008884884
Taft	0.4000000001066266
Clinton	0.20200745388524827
Ronald Wilson Reagan	0.4000000000896266
###Iteration 1
Ronald Reagan	0.22360097492852954
Bush	0.20000000010676383
Ford	0.2004887099814528
Reagan	0.2003719709283743
Blythe III	0.40000000009076386
###Iteration 2
John Fitzgerald Kennedy	0.32124191912761296
Dwight D. Eisenhower	0.32124191912800426
Herbert Walker Bush	0.32124191912816213
W. Bush	0.2143071374654225
George Bush	0.20497085660778516
###Iteration 3
Nixon	0.2020459783564116
George W. Bush	0.2143071374639939
Eisenhower	0.20133519573281977
Prescott Bush	0.40000000005567404
Coolidge	0.20079856001039667
###Iteration 4
George C. Marshall	0.3211530222038673
Carter	0.20000000007265645
###Iteration 5
Wallace	0.321153022220534
III	0.2322257156059398
